key_loja,cod_produto,dt_estoque,qt_estoque,is_ruptura,qtd_vendas,tipo_demanda,qtd_venda_interp,des_estado_franquia,categoria_produto,sub_categoria_produto,linha_produto,vlr_venda_tabelado_mean,qtd_vendas_media_1d,qtd_vendas_mediana_1d,qtd_vendas_max_1d,qtd_vendas_min_1d,qtd_vendas_media_7d,qtd_vendas_mediana_7d,qtd_vendas_max_7d,qtd_vendas_min_7d,qtd_vendas_media_30d,qtd_vendas_mediana_30d,qtd_vendas_max_30d,qtd_vendas_min_30d,qtd_vendas_media_60d,qtd_vendas_mediana_60d,qtd_vendas_max_60d,qtd_vendas_min_60d,media_1d_7d_ratio_qtd_vendas,media_1d_30d_ratio_qtd_vendas,media_1d_60d_ratio_qtd_vendas,media_7d_30d_ratio_qtd_vendas,media_7d_60d_ratio_qtd_vendas,media_30d_60d_ratio_qtd_vendas,mediana_1d_7d_ratio_qtd_vendas,mediana_1d_30d_ratio_qtd_vendas,mediana_1d_60d_ratio_qtd_vendas,mediana_7d_30d_ratio_qtd_vendas,mediana_7d_60d_ratio_qtd_vendas,mediana_30d_60d_ratio_qtd_vendas,max_1d_7d_ratio_qtd_vendas,max_1d_30d_ratio_qtd_vendas,max_1d_60d_ratio_qtd_vendas,max_7d_30d_ratio_qtd_vendas,max_7d_60d_ratio_qtd_vendas,max_30d_60d_ratio_qtd_vendas,min_1d_7d_ratio_qtd_vendas,min_1d_30d_ratio_qtd_vendas,min_1d_60d_ratio_qtd_vendas,min_7d_30d_ratio_qtd_vendas,min_7d_60d_ratio_qtd_vendas,min_30d_60d_ratio_qtd_vendas,vlr_venda_tabelado_mean_media_1d,vlr_venda_tabelado_mean_mediana_1d,vlr_venda_tabelado_mean_max_1d,vlr_venda_tabelado_mean_min_1d,vlr_venda_tabelado_mean_media_7d,vlr_venda_tabelado_mean_mediana_7d,vlr_venda_tabelado_mean_max_7d,vlr_venda_tabelado_mean_min_7d,vlr_venda_tabelado_mean_media_30d,vlr_venda_tabelado_mean_mediana_30d,vlr_venda_tabelado_mean_max_30d,vlr_venda_tabelado_mean_min_30d,vlr_venda_tabelado_mean_media_60d,vlr_venda_tabelado_mean_mediana_60d,vlr_venda_tabelado_mean_max_60d,vlr_venda_tabelado_mean_min_60d,media_1d_7d_ratio_vlr_venda_tabelado_mean,media_1d_30d_ratio_vlr_venda_tabelado_mean,media_1d_60d_ratio_vlr_venda_tabelado_mean,media_7d_30d_ratio_vlr_venda_tabelado_mean,media_7d_60d_ratio_vlr_venda_tabelado_mean,media_30d_60d_ratio_vlr_venda_tabelado_mean,mediana_1d_7d_ratio_vlr_venda_tabelado_mean,mediana_1d_30d_ratio_vlr_venda_tabelado_mean,mediana_1d_60d_ratio_vlr_venda_tabelado_mean,mediana_7d_30d_ratio_vlr_venda_tabelado_mean,mediana_7d_60d_ratio_vlr_venda_tabelado_mean,mediana_30d_60d_ratio_vlr_venda_tabelado_mean,max_1d_7d_ratio_vlr_venda_tabelado_mean,max_1d_30d_ratio_vlr_venda_tabelado_mean,max_1d_60d_ratio_vlr_venda_tabelado_mean,max_7d_30d_ratio_vlr_venda_tabelado_mean,max_7d_60d_ratio_vlr_venda_tabelado_mean,max_30d_60d_ratio_vlr_venda_tabelado_mean,min_1d_7d_ratio_vlr_venda_tabelado_mean,min_1d_30d_ratio_vlr_venda_tabelado_mean,min_1d_60d_ratio_vlr_venda_tabelado_mean,min_7d_30d_ratio_vlr_venda_tabelado_mean,min_7d_60d_ratio_vlr_venda_tabelado_mean,min_30d_60d_ratio_vlr_venda_tabelado_mean,qt_estoque_media_1d,qt_estoque_mediana_1d,qt_estoque_max_1d,qt_estoque_min_1d,qt_estoque_media_7d,qt_estoque_mediana_7d,qt_estoque_max_7d,qt_estoque_min_7d,qt_estoque_media_30d,qt_estoque_mediana_30d,qt_estoque_max_30d,qt_estoque_min_30d,qt_estoque_media_60d,qt_estoque_mediana_60d,qt_estoque_max_60d,qt_estoque_min_60d,media_1d_7d_ratio_qt_estoque,media_1d_30d_ratio_qt_estoque,media_1d_60d_ratio_qt_estoque,media_7d_30d_ratio_qt_estoque,media_7d_60d_ratio_qt_estoque,media_30d_60d_ratio_qt_estoque,mediana_1d_7d_ratio_qt_estoque,mediana_1d_30d_ratio_qt_estoque,mediana_1d_60d_ratio_qt_estoque,mediana_7d_30d_ratio_qt_estoque,mediana_7d_60d_ratio_qt_estoque,mediana_30d_60d_ratio_qt_estoque,max_1d_7d_ratio_qt_estoque,max_1d_30d_ratio_qt_estoque,max_1d_60d_ratio_qt_estoque,max_7d_30d_ratio_qt_estoque,max_7d_60d_ratio_qt_estoque,max_30d_60d_ratio_qt_estoque,min_1d_7d_ratio_qt_estoque,min_1d_30d_ratio_qt_estoque,min_1d_60d_ratio_qt_estoque,min_7d_30d_ratio_qt_estoque,min_7d_60d_ratio_qt_estoque,min_30d_60d_ratio_qt_estoque,day_of_the_week
2105,3,77690,2024-01-04,10.0,0,0.0,Intermittent,0.0,GO,217.0,422944,390554,283.04999999999995,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.04999999999995,283.04999999999995,283.04999999999995,283.04999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2110,3,82037,2024-01-04,7.0,0,0.0,Intermittent,0.0,GO,157293.0,483679,390554,224.7,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2423,8,49880,2024-01-04,0.0,1,,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2666,3,48253,2024-01-05,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2724,3,77690,2024-01-05,10.0,0,4.0,Intermittent,4.0,GO,217.0,422944,390554,377.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.04999999999995,283.04999999999995,283.04999999999995,283.04999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2729,3,82037,2024-01-05,7.0,0,0.0,Intermittent,0.0,GO,157293.0,483679,390554,224.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3042,8,49880,2024-01-05,0.0,1,,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3285,3,48253,2024-01-06,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3343,3,77690,2024-01-06,2.0,0,2.0,Intermittent,2.0,GO,217.0,422944,390554,188.7,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.4,377.4,377.4,377.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3348,3,82037,2024-01-06,7.0,0,0.0,Intermittent,0.0,GO,157293.0,483679,390554,224.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3661,8,49880,2024-01-06,0.0,1,,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3904,3,48253,2024-01-07,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3962,3,77690,2024-01-07,0.0,1,,Intermittent,2.0,GO,217.0,422944,390554,188.7,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7,188.7,188.7,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3967,3,82037,2024-01-07,7.0,0,0.0,Intermittent,0.0,GO,157293.0,483679,390554,224.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
4280,8,49880,2024-01-07,2.0,0,0.0,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
4523,3,48253,2024-01-08,15.0,0,1.0,Intermittent,1.0,GO,217.0,422944,731659,170.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0
4581,3,77690,2024-01-08,0.0,1,,Intermittent,2.0,GO,217.0,422944,390554,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7,188.7,188.7,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,9.285714285714286,10.0,15.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0
4586,3,82037,2024-01-08,7.0,0,1.0,Intermittent,1.0,GO,157293.0,483679,390554,224.7,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,224.7,224.7,224.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.428571428571429,7.0,8.0,7.0,,,,,,,,,0.9423076923076923,,,,,,1.0,,,,,,0.875,,,,,,1.0,,,,,,0
4899,8,49880,2024-01-08,2.0,0,0.0,Intermittent,0.0,MG,217.0,422944,390554,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.2857142857142857,0.0,2.0,0.0,,,,,,,,,7.0,,,,,,inf,,,,,,1.0,,,,,,inf,,,,,,0
5142,3,48253,2024-01-09,14.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,170.7,1.0,1.0,1.0,1.0,0.14285714285714285,0.0,1.0,0.0,,,,,,,,,7.0,,,,,,inf,,,,,,1.0,,,,,,inf,,,,,,170.7,170.7,170.7,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1
5200,3,77690,2024-01-09,0.0,1,,Intermittent,2.0,GO,217.0,422944,390554,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7,188.7,188.7,188.7,269.57142857142856,283.04999999999995,377.4,188.7,,,,,,,,,0.7,,,,,,0.6666666666666667,,,,,,0.5,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,7.142857142857143,10.0,15.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,1
5205,3,82037,2024-01-09,6.0,0,1.0,Intermittent,1.0,GO,157293.0,483679,390554,224.7,1.0,1.0,1.0,1.0,0.2857142857142857,0.0,1.0,0.0,,,,,,,,,3.5,,,,,,inf,,,,,,1.0,,,,,,inf,,,,,,224.7,224.7,224.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.285714285714286,7.0,8.0,7.0,,,,,,,,,0.9607843137254902,,,,,,1.0,,,,,,0.875,,,,,,1.0,,,,,,1
5518,8,49880,2024-01-09,2.0,0,0.0,Intermittent,0.0,MG,217.0,422944,390554,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.5714285714285714,0.0,2.0,0.0,,,,,,,,,3.5,,,,,,inf,,,,,,1.0,,,,,,inf,,,,,,1
5761,3,48253,2024-01-10,14.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,170.7,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,170.7,170.7,170.7,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,14.0,14.857142857142858,15.0,15.0,14.0,,,,,,,,,0.9423076923076923,,,,,,0.9333333333333333,,,,,,0.9333333333333333,,,,,,1.0,,,,,,2
5819,3,77690,2024-01-10,0.0,1,,Intermittent,2.0,GO,217.0,422944,390554,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7,188.7,188.7,188.7,242.6142857142857,188.7,377.4,188.7,,,,,,,,,0.7777777777777778,,,,,,1.0,,,,,,0.5,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,5.0,2.0,13.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2
5824,3,82037,2024-01-10,5.0,0,1.0,Intermittent,1.0,GO,157293.0,483679,390554,224.7,1.0,1.0,1.0,1.0,0.42857142857142855,0.0,1.0,0.0,,,,,,,,,2.3333333333333335,,,,,,inf,,,,,,1.0,,,,,,inf,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,6.0,6.0,6.0,6.0,7.0,7.0,8.0,6.0,,,,,,,,,0.8571428571428571,,,,,,0.8571428571428571,,,,,,0.75,,,,,,1.0,,,,,,2
6137,8,49880,2024-01-10,2.0,0,0.0,Intermittent,0.0,MG,217.0,422944,390554,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.8571428571428571,0.0,2.0,0.0,,,,,,,,,2.3333333333333335,,,,,,inf,,,,,,1.0,,,,,,inf,,,,,,2
6380,3,48253,2024-01-11,14.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,170.7,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,170.7,170.7,170.7,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,14.0,14.714285714285714,15.0,15.0,14.0,,,,,,,,,0.9514563106796117,,,,,,0.9333333333333333,,,,,,0.9333333333333333,,,,,,1.0,,,,,,3
6438,3,77690,2024-01-11,0.0,1,,Intermittent,2.0,GO,217.0,422944,390554,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7,188.7,188.7,188.7,229.1357142857143,188.7,377.4,188.7,,,,,,,,,0.8235294117647057,,,,,,1.0,,,,,,0.5,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,3.142857142857143,0.0,10.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,3
